gamma1_Cz,gamma2_Cz,gamma3_Cz,gamma4_Cz,gamma5_Cz,gamma6_Cz,gamma1_Fz,gamma2_Fz,gamma3_Fz,gamma4_Fz,gamma5_Fz,gamma6_Fz
1.2557,0.3049,0.4130,0.2299,0.1846,1.1905,0.0913,1.8083,1.6610,1.3433,0.7013,1.2774
0.0089,0.7369,1.0772,1.7221,0.0902,0.6502,1.1730,0.0416,1.2111,1.9440,0.3072,1.5809
1.7811,1.7844,1.4479,0.9807,1.1549,1.0891,1.0070,0.7780,1.1821,0.3014,1.5872,1.8162
0.7871,1.4471,1.2408,0.7279,0.4433,1.2390,0.8656,1.3082,1.7258,1.4951,1.0767,0.4190
0.9018,1.0584,1.9674,1.9901,1.6903,0.5245,1.7361,0.0725,1.6803,1.9828,1.4843,0.1407
0.2039,0.7604,0.5364,0.8328,1.4642,1.7306,1.8463,1.1368,0.9550,1.2596,0.6577,1.4480
1.5148,1.2097,0.1645,0.3760,0.9091,1.3459,1.7105,0.1996,0.9158,0.8417,1.4793,0.0282
0.6903,1.2783,0.0608,0.5820,1.5279,1.3451,1.2558,1.4388,1.4277,0.9096,1.1162,1.3636
0.1657,1.6822,1.2427,1.9758,0.3718,1.5725,0.2164,1.7697,1.0684,1.0434,0.7717,0.7997
1.0122,1.6170,1.3232,1.3287,1.8329,1.8577,1.8960,0.5469,0.2666,0.4714,0.6690,0.6431
1.2327,1.1471,1.4354,0.6118,0.5918,1.7196,0.5136,1.7167,1.6519,0.3149,1.3740,1.7748
0.0717,0.0688,0.0470,0.6127,0.7191,1.0963,0.1652,1.5393,1.1752,1.7913,0.2130,0.9189
1.5273,1.7386,0.3752,1.3151,1.2832,0.9411,0.2640,1.4163,1.2330,1.4907,1.6885,0.0099
0.2496,0.4625,1.7960,0.9617,0.9669,0.4760,0.6095,1.5531,0.8330,0.6675,0.8489,0.2006
0.4569,1.5140,0.9318,1.7007,0.0499,0.4201,0.6775,1.0093,0.2022,0.5010,0.7781,0.5065
1.1379,1.7881,1.0007,1.1769,1.2639,0.6437,1.3366,1.7564,0.8093,1.5902,1.3542,0.3020
1.4355,1.3744,0.2212,0.4459,1.3012,1.8015,1.2549,1.7613,1.4788,0.5774,0.8778,1.0345
0.0441,1.5560,1.4524,0.3346,1.2901,0.9340,0.4096,0.0341,1.7302,0.3037,0.2990,1.2706
0.8268,0.9628,1.4068,0.5896,0.3631,1.2647,1.7380,0.2248,0.9373,0.6317,0.1527,1.4261
1.9981,0.9801,0.1734,1.8696,1.7130,0.0600,1.5199,0.3103,0.9088,1.7293,0.7202,1.8239
1.8811,1.6100,1.0262,1.9293,0.6472,0.7660,0.4950,0.2115,0.8694,0.5785,1.1654,0.3270
0.8059,0.1686,1.1835,0.9287,0.5214,0.8790,1.3220,1.8025,0.2054,0.9242,0.7721,0.2704
1.8703,0.1414,1.2625,0.4637,0.2806,0.3190,1.7516,1.3344,0.9634,1.2044,0.9972,1.8994
1.3355,0.9383,1.2583,1.9882,1.4448,1.8007,1.3660,0.4053,1.1981,1.6072,0.4858,1.2186
1.5103,1.2905,0.0728,1.5232,0.2635,1.6257,0.3798,1.5018,0.3233,1.1968,1.5126,0.0353
1.0028,1.2469,0.0641,1.7150,1.3085,1.6997,0.0430,1.5023,1.8871,0.1680,0.8161,0.2537
0.5878,1.5363,1.1968,1.4545,0.1393,0.3517,1.8258,1.9421,1.9389,0.4428,1.7156,1.5935
0.5727,1.5816,0.4945,1.9111,0.6293,0.5794,0.7104,0.8878,1.8917,0.2824,0.1266,1.0332
